rank,name,status
1,Afghanistan,0
2,Albania,0
3,Algeria,0
4,Andorra,0
5,Angola,0
6,Antigua and Barbuda,0
7,Argentina,0
8,Armenia,0
9,Australia,0
10,Austria,0
11,Azerbaijan,0
12,Bahamas,0
13,Bahrain,0
14,Bangladesh,0
15,Barbados,0
16,Belarus,0
17,Belgium,0
18,Belize,0
19,Benin,0
20,Bhutan,0
21,Bolivia,0
22,Bosnia and Herzegovina,0
23,Botswana,0
24,Brazil,0
25,Brunei,0
26,Bulgaria,0
27,Burkina Faso,0
28,Burundi,0
29,Cabo Verde,0
30,Cambodia,0
31,Cameroon,0
32,Canada,0
33,Central African Republic,0
34,Chad,0
35,Chile,0
36,China,0
37,Colombia,0
38,Comoros,0
39,Congo (Democratic Republic of the),0
40,Congo (Republic of the),0
41,Costa Rica,0
42,Croatia,0
43,Cuba,0
44,Cyprus,0
45,Czech Republic,0
46,Denmark,0
47,Djibouti,0
48,Dominica,0
49,Dominican Republic,0
50,Ecuador,0
51,Egypt,0
52,El Salvador,0
53,Equatorial Guinea,0
54,Eritrea,0
55,Estonia,0
56,Eswatini,0
57,Ethiopia,0
58,Fiji,0
59,Finland,0
60,France,0
61,Gabon,0
62,Gambia,0
63,Georgia,0
64,Germany,0
65,Ghana,0
66,Greece,0
67,Grenada,0
68,Guatemala,0
69,Guinea,0
70,Guinea-Bissau,0
71,Guyana,0
72,Haiti,0
73,Honduras,0
74,Hungary,3
75,Iceland,0
76,India,0
77,Indonesia,0
78,Iran,0
79,Iraq,0
80,Ireland,0
81,Israel,0
82,Italy,0
83,Jamaica,0
84,Japan,0
85,Jordan,0
86,Kazakhstan,0
87,Kenya,0
88,Kiribati,0
89,Kuwait,0
90,Kyrgyzstan,0
91,Laos,0
92,Latvia,0
93,Lebanon,0
94,Lesotho,0
95,Liberia,0
96,Libya,0
97,Liechtenstein,0
98,Lithuania,0
99,Luxembourg,0
100,Madagascar,0
101,Malawi,0
102,Malaysia,0
103,Maldives,0
104,Mali,0
105,Malta,0
106,Marshall Islands,0
107,Mauritania,0
108,Mauritius,0
109,Mexico,0
110,Micronesia,0
111,Moldova,0
112,Monaco,0
113,Mongolia,0
114,Montenegro,0
115,Morocco,0
116,Mozambique,0
117,Myanmar (Burma),0
118,Namibia,0
119,Nauru,0
120,Nepal,0
121,Netherlands,0
122,New Zealand,0
123,Nicaragua,0
124,Niger,0
125,Nigeria,0
126,North Korea,0
127,North Macedonia,0
128,Norway,0
129,Oman,0
130,Pakistan,0
131,Palau,0
132,Panama,0
133,Papua New Guinea,0
134,Paraguay,0
135,Peru,0
136,Philippines,0
137,Poland,1
138,Portugal,0
139,Qatar,0
140,Romania,0
141,Russia,0
142,Rwanda,0
143,Saint Kitts and Nevis,0
144,Saint Lucia,0
145,Saint Vincent and the Grenadines,0
146,Samoa,0
147,San Marino,0
148,Sao Tome and Principe,0
149,Saudi Arabia,0
150,Senegal,0
151,Serbia,0
152,Seychelles,0
153,Sierra Leone,0
154,Singapore,0
155,Slovakia,0
156,Slovenia,1
157,Solomon Islands,0
158,Somalia,0
159,South Africa,0
160,South Korea,0
161,South Sudan,0
162,Spain,0
163,Sri Lanka,0
164,Sudan,0
165,Suriname,0
166,Sweden,0
167,Switzerland,0
168,Syria,0
169,Taiwan,0
170,Tajikistan,0
171,Tanzania,0
172,Thailand,0
173,Timor-Leste (East Timor),0
174,Togo,0
175,Tonga,0
176,Trinidad and Tobago,0
177,Tunisia,0
178,Turkey,0
179,Turkmenistan,0
180,Tuvalu,0
181,Uganda,0
182,Ukraine,0
183,United Arab Emirates,0
184,United Kingdom,0
185,United States of America,0
186,Uruguay,0
187,Uzbekistan,0
188,Vanuatu,0
189,Vatican City (Holy See),0
190,Venezuela,0
191,Vietnam,0
192,Yemen,0
193,Zambia,0
194,Zimbabwe,0
